Address,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source,"Census Year","State FIPS","County FIPS","Place Name","Place FIPS","Census Tract Code","Census Block Code","Census Block Group","Full FIPS","Metro/Micro Statistical Area Name","Metro/Micro Statistical Area Code","Metro/Micro Statistical Area Type","Combined Statistical Area Name","Combined Statistical Area Code","Metropolitan Division Area Name","Metropolitan Division Area Code"
"City of El Segundo, CA",33.91918,-118.41647,1,place,,,,,"El Segundo",CA,"Los Angeles County",90245,US,"TIGER/Line® dataset from the US Census Bureau",2019,06,06037,"El Segundo",0622412,620102,1021,1,060376201021021,"Los Angeles-Long Beach-Anaheim, CA",31080,metropolitan,"Los Angeles-Long Beach, CA",348,"Los Angeles-Long Beach-Glendale, CA",31084
"City of Gardena, CA",33.888315,-118.295256,1,place,,,,,Gardena,CA,"Los Angeles County",90247,US,"TIGER/Line® dataset from the US Census Bureau",2019,06,06037,Gardena,0628168,603101,1002,1,060376031011002,"Los Angeles-Long Beach-Anaheim, CA",31080,metropolitan,"Los Angeles-Long Beach, CA",348,"Los Angeles-Long Beach-Glendale, CA",31084
"City of Glendale, CA",34.17051,-118.289463,1,place,,,,,Glendale,CA,"Los Angeles County",91201,US,"TIGER/Line® dataset from the US Census Bureau",2019,06,06037,Glendale,0630000,301601,3000,3,060373016013000,"Los Angeles-Long Beach-Anaheim, CA",31080,metropolitan,"Los Angeles-Long Beach, CA",348,"Los Angeles-Long Beach-Glendale, CA",31084
"City of Glendora, CA",34.119363,-117.855059,1,place,,,,,Glendora,CA,"Los Angeles County",91740,US,"TIGER/Line® dataset from the US Census Bureau",2019,06,06037,Glendora,0630014,401101,2007,2,060374011012007,"Los Angeles-Long Beach-Anaheim, CA",31080,metropolitan,"Los Angeles-Long Beach, CA",348,"Los Angeles-Long Beach-Glendale, CA",31084
"City of Hawaiian Gardens, CA",33.830967,-118.072796,1,place,,,,,"Hawaiian Gardens",CA,"Los Angeles County",90716,US,"TIGER/Line® dataset from the US Census Bureau",2019,06,06037,"Hawaiian Gardens",0632506,555211,1000,1,060375552111000,"Los Angeles-Long Beach-Anaheim, CA",31080,metropolitan,"Los Angeles-Long Beach, CA",348,"Los Angeles-Long Beach-Glendale, CA",31084
"City of Hawthorne, CA",33.914775,-118.348083,1,place,,,,,Hawthorne,CA,"Los Angeles County",90250,US,"TIGER/Line® dataset from the US Census Bureau",2019,06,06037,Hawthorne,0632548,602403,1006,1,060376024031006,"Los Angeles-Long Beach-Anaheim, CA",31080,metropolitan,"Los Angeles-Long Beach, CA",348,"Los Angeles-Long Beach-Glendale, CA",31084
"City of Hermosa Beach, CA",33.86224,-118.39952,1,place,,,,,"Hermosa Beach",CA,"Los Angeles County",90254,US,"TIGER/Line® dataset from the US Census Bureau",2019,06,06037,"Hermosa Beach",0633364,621104,2003,2,060376211042003,"Los Angeles-Long Beach-Anaheim, CA",31080,metropolitan,"Los Angeles-Long Beach, CA",348,"Los Angeles-Long Beach-Glendale, CA",31084
"City of Hidden Hills, CA",34.160283,-118.65231,0.8,place,,,,,"Hidden Hills",CA,"Los Angeles County",91302,US,"TIGER/Line® dataset from the US Census Bureau",2019,06,06037,"Hidden Hills",0633518,800203,1010,1,060378002031010,"Los Angeles-Long Beach-Anaheim, CA",31080,metropolitan,"Los Angeles-Long Beach, CA",348,"Los Angeles-Long Beach-Glendale, CA",31084
"City of Huntington Park, CA",33.977987,-118.213137,1,place,,,,,"Huntington Park",CA,"Los Angeles County",90255,US,"TIGER/Line® dataset from the US Census Bureau",2019,06,06037,"Huntington Park",0636056,533202,1008,1,060375332021008,"Los Angeles-Long Beach-Anaheim, CA",31080,metropolitan,"Los Angeles-Long Beach, CA",348,"Los Angeles-Long Beach-Glendale, CA",31084
"City of Industry, CA",33.786594,-118.298662,1,place,,,,,"City Of Industry",CA,"Los Angeles County",91714,US,"TIGER/Line® dataset from the US Census Bureau",2019,06,06037,"Los Angeles",0644000,294421,1002,1,060372944211002,"Los Angeles-Long Beach-Anaheim, CA",31080,metropolitan,"Los Angeles-Long Beach, CA",348,"Los Angeles-Long Beach-Glendale, CA",31084
"City of Inglewood, CA",33.956526,-118.358654,1,place,,,,,Inglewood,CA,"Los Angeles County",90301,US,"TIGER/Line® dataset from the US Census Bureau",2019,06,06037,Inglewood,0636546,601212,2004,2,060376012122004,"Los Angeles-Long Beach-Anaheim, CA",31080,metropolitan,"Los Angeles-Long Beach, CA",348,"Los Angeles-Long Beach-Glendale, CA",31084
"City of Irwindale, CA",34.106953,-117.935341,0.9,place,,,,,Irwindale,CA,"Los Angeles County",91706,US,"TIGER/Line® dataset from the US Census Bureau",2019,06,06037,Irwindale,0636826,404600,1007,1,060374046001007,"Los Angeles-Long Beach-Anaheim, CA",31080,metropolitan,"Los Angeles-Long Beach, CA",348,"Los Angeles-Long Beach-Glendale, CA",31084
"City of La Canada Flintridge, CA",34.222261,-118.205369,1,place,,,,,"La Canada Flintridge",CA,"Los Angeles County",91011,US,"TIGER/Line® dataset from the US Census Bureau",2019,06,06037,"La Cañada Flintridge",0639003,460501,1008,1,060374605011008,"Los Angeles-Long Beach-Anaheim, CA",31080,metropolitan,"Los Angeles-Long Beach, CA",348,"Los Angeles-Long Beach-Glendale, CA",31084
"City of La Habra Heights, CA",33.960846,-117.950619,0.8,place,,,,,"La Habra Heights",CA,"Los Angeles County",90631,US,"TIGER/Line® dataset from the US Census Bureau",2019,06,06037,"La Habra Heights",0639304,500100,2000,2,060375001002000,"Los Angeles-Long Beach-Anaheim, CA",31080,metropolitan,"Los Angeles-Long Beach, CA",348,"Los Angeles-Long Beach-Glendale, CA",31084
"City of La Mirada, CA",33.786594,-118.298662,1,place,,,,,"La Mirada",CA,"Los Angeles County",90637,US,"TIGER/Line® dataset from the US Census Bureau",2019,06,06037,"Los Angeles",0644000,294421,1002,1,060372944211002,"Los Angeles-Long Beach-Anaheim, CA",31080,metropolitan,"Los Angeles-Long Beach, CA",348,"Los Angeles-Long Beach-Glendale, CA",31084
"City of La Puente, CA",34.031415,-117.93647,1,place,,,,,"La Puente",CA,"Los Angeles County",91744,US,"TIGER/Line® dataset from the US Census Bureau",2019,06,06037,Industry,0636490,407802,1003,1,060374078021003,"Los Angeles-Long Beach-Anaheim, CA",31080,metropolitan,"Los Angeles-Long Beach, CA",348,"Los Angeles-Long Beach-Glendale, CA",31084
"City of La Verne, CA",34.10084,-117.76784,1,place,,,,,"La Verne",CA,"Los Angeles County",91750,US,"TIGER/Line® dataset from the US Census Bureau",2019,06,06037,"La Verne",0640830,401500,1008,1,060374015001008,"Los Angeles-Long Beach-Anaheim, CA",31080,metropolitan,"Los Angeles-Long Beach, CA",348,"Los Angeles-Long Beach-Glendale, CA",31084
"City of Lakewood, CA",33.786594,-118.298662,1,place,,,,,Lakewood,CA,"Los Angeles County",90711,US,"TIGER/Line® dataset from the US Census Bureau",2019,06,06037,"Los Angeles",0644000,294421,1002,1,060372944211002,"Los Angeles-Long Beach-Anaheim, CA",31080,metropolitan,"Los Angeles-Long Beach, CA",348,"Los Angeles-Long Beach-Glendale, CA",31084
"City of Lancaster, CA",34.713292,-118.15292,1,place,,,,,Lancaster,CA,"Los Angeles County",93534,US,"TIGER/Line® dataset from the US Census Bureau",2019,06,06037,Lancaster,0640130,900803,3002,3,060379008033002,"Los Angeles-Long Beach-Anaheim, CA",31080,metropolitan,"Los Angeles-Long Beach, CA",348,"Los Angeles-Long Beach-Glendale, CA",31084
"City of Lawndale, CA",33.88856,-118.351813,1,place,,,,,Lawndale,CA,"Los Angeles County",90260,US,"TIGER/Line® dataset from the US Census Bureau",2019,06,06037,Lawndale,0640886,603802,2009,2,060376038022009,"Los Angeles-Long Beach-Anaheim, CA",31080,metropolitan,"Los Angeles-Long Beach, CA",348,"Los Angeles-Long Beach-Glendale, CA",31084
"City of Lomita, CA",33.79224,-118.31507,1,place,,,,,Lomita,CA,"Los Angeles County",90717,US,"TIGER/Line® dataset from the US Census Bureau",2019,06,06037,Lomita,0642468,670002,2009,2,060376700022009,"Los Angeles-Long Beach-Anaheim, CA",31080,metropolitan,"Los Angeles-Long Beach, CA",348,"Los Angeles-Long Beach-Glendale, CA",31084
"City of Lynwood, CA",33.924538,-118.202954,1,place,,,,,Lynwood,CA,"Los Angeles County",90262,US,"TIGER/Line® dataset from the US Census Bureau",2019,06,06037,Lynwood,0644574,540203,1017,1,060375402031017,"Los Angeles-Long Beach-Anaheim, CA",31080,metropolitan,"Los Angeles-Long Beach, CA",348,"Los Angeles-Long Beach-Glendale, CA",31084
"City of Malibu, CA",34.039034,-118.707992,1,place,,,,,Malibu,CA,"Los Angeles County",90263,US,"TIGER/Line® dataset from the US Census Bureau",2019,06,06037,,,800410,1083,1,060378004101083,"Los Angeles-Long Beach-Anaheim, CA",31080,metropolitan,"Los Angeles-Long Beach, CA",348,"Los Angeles-Long Beach-Glendale, CA",31084
"City of Manhattan Beach, CA",33.889151,-118.402127,1,place,,,,,"Manhattan Beach",CA,"Los Angeles County",90266,US,"TIGER/Line® dataset from the US Census Bureau",2019,06,06037,"Manhattan Beach",0645400,620303,2007,2,060376203032007,"Los Angeles-Long Beach-Anaheim, CA",31080,metropolitan,"Los Angeles-Long Beach, CA",348,"Los Angeles-Long Beach-Glendale, CA",31084
"City of Maywood, CA",33.988463,-118.187376,1,place,,,,,Maywood,CA,"Los Angeles County",90270,US,"TIGER/Line® dataset from the US Census Bureau",2019,06,06037,Maywood,0646492,533403,1011,1,060375334031011,"Los Angeles-Long Beach-Anaheim, CA",31080,metropolitan,"Los Angeles-Long Beach, CA",348,"Los Angeles-Long Beach-Glendale, CA",31084
"City of Monrovia, CA",34.1528,-118.000482,1,place,,,,,Monrovia,CA,"Los Angeles County",91016,US,"TIGER/Line® dataset from the US Census Bureau",2019,06,06037,Monrovia,0648648,430302,4003,4,060374303024003,"Los Angeles-Long Beach-Anaheim, CA",31080,metropolitan,"Los Angeles-Long Beach, CA",348,"Los Angeles-Long Beach-Glendale, CA",31084
"City of Montebello, CA",34.00946,-118.10535,1,place,,,,,Montebello,CA,"Los Angeles County",90640,US,"TIGER/Line® dataset from the US Census Bureau",2019,06,06037,Montebello,0648816,532101,1006,1,060375321011006,"Los Angeles-Long Beach-Anaheim, CA",31080,metropolitan,"Los Angeles-Long Beach, CA",348,"Los Angeles-Long Beach-Glendale, CA",31084
"City of Monterey Park, CA",34.052922,-118.143465,1,place,,,,,"Monterey Park",CA,"Los Angeles County",91754,US,"TIGER/Line® dataset from the US Census Bureau",2019,06,06037,"Monterey Park",0648914,482002,3003,3,060374820023003,"Los Angeles-Long Beach-Anaheim, CA",31080,metropolitan,"Los Angeles-Long Beach, CA",348,"Los Angeles-Long Beach-Glendale, CA",31084
"City of Norwalk, CA",33.906763,-118.076549,1,place,,,,,Norwalk,CA,"Los Angeles County",90650,US,"TIGER/Line® dataset from the US Census Bureau",2019,06,06037,Norwalk,0652526,552100,2006,2,060375521002006,"Los Angeles-Long Beach-Anaheim, CA",31080,metropolitan,"Los Angeles-Long Beach, CA",348,"Los Angeles-Long Beach-Glendale, CA",31084
"City of Palmdale, CA",34.408383,-118.123597,1,place,,,,,Palmdale,CA,"Los Angeles County",93550,US,"TIGER/Line® dataset from the US Census Bureau",2019,06,06037,,,910811,1025,1,060379108111025,"Los Angeles-Long Beach-Anaheim, CA",31080,metropolitan,"Los Angeles-Long Beach, CA",348,"Los Angeles-Long Beach-Glendale, CA",31084
"City of Palos Verdes Estates, CA",33.800571,-118.390074,0.9,place,,,,,"Palos Verdes Estates",CA,"Los Angeles County",90274,US,"TIGER/Line® dataset from the US Census Bureau",2019,06,06037,"Palos Verdes Estates",0655380,670324,4029,4,060376703244029,"Los Angeles-Long Beach-Anaheim, CA",31080,metropolitan,"Los Angeles-Long Beach, CA",348,"Los Angeles-Long Beach-Glendale, CA",31084
"City of Paramount, CA",33.899015,-118.165152,1,place,,,,,Paramount,CA,"Los Angeles County",90723,US,"TIGER/Line® dataset from the US Census Bureau",2019,06,06037,Paramount,0655618,553601,2030,2,060375536012030,"Los Angeles-Long Beach-Anaheim, CA",31080,metropolitan,"Los Angeles-Long Beach, CA",348,"Los Angeles-Long Beach-Glendale, CA",31084
"City of Pico Rivera, CA",33.985812,-118.088787,1,place,,,,,"Pico Rivera",CA,"Los Angeles County",90660,US,"TIGER/Line® dataset from the US Census Bureau",2019,06,06037,"Pico Rivera",0656924,500800,4020,4,060375008004020,"Los Angeles-Long Beach-Anaheim, CA",31080,metropolitan,"Los Angeles-Long Beach, CA",348,"Los Angeles-Long Beach-Glendale, CA",31084
"City of Pomona, CA",34.042286,-117.756106,1,place,,,,,Pomona,CA,"Los Angeles County",91766,US,"TIGER/Line® dataset from the US Census Bureau",2019,06,06037,Pomona,0658072,403000,3000,3,060374030003000,"Los Angeles-Long Beach-Anaheim, CA",31080,metropolitan,"Los Angeles-Long Beach, CA",348,"Los Angeles-Long Beach-Glendale, CA",31084
"City of Rancho Palos Verdes, CA",33.753146,-118.367459,1,place,,,,,"Rancho Palos Verdes",CA,"Los Angeles County",90275,US,"TIGER/Line® dataset from the US Census Bureau",2019,06,06037,"Rancho Palos Verdes",0659514,670602,3006,3,060376706023006,"Los Angeles-Long Beach-Anaheim, CA",31080,metropolitan,"Los Angeles-Long Beach, CA",348,"Los Angeles-Long Beach-Glendale, CA",31084
"City of Redondo Beach, CA",33.830006,-118.387124,1,place,,,,,"Redondo Beach",CA,"Los Angeles County",90277,US,"TIGER/Line® dataset from the US Census Bureau",2019,06,06037,"Redondo Beach",0660018,621324,1014,1,060376213241014,"Los Angeles-Long Beach-Anaheim, CA",31080,metropolitan,"Los Angeles-Long Beach, CA",348,"Los Angeles-Long Beach-Glendale, CA",31084
"City of Rolling Hills, CA",33.756962,-118.353961,0.9,place,,,,,"Rolling Hills",CA,"Los Angeles County",90274,US,"TIGER/Line® dataset from the US Census Bureau",2019,06,06037,"Rolling Hills",0662602,670500,1012,1,060376705001012,"Los Angeles-Long Beach-Anaheim, CA",31080,metropolitan,"Los Angeles-Long Beach, CA",348,"Los Angeles-Long Beach-Glendale, CA",31084
"City of Rolling Hills Estates, CA",33.787794,-118.358128,0.8,place,,,,,"Rolling Hills Estates",CA,"Los Angeles County",90274,US,"TIGER/Line® dataset from the US Census Bureau",2019,06,06037,"Rolling Hills Estates",0662644,670202,1012,1,060376702021012,"Los Angeles-Long Beach-Anaheim, CA",31080,metropolitan,"Los Angeles-Long Beach, CA",348,"Los Angeles-Long Beach-Glendale, CA",31084
"City of Rosemead, CA",34.065493,-118.084529,1,place,,,,,Rosemead,CA,"Los Angeles County",91770,US,"TIGER/Line® dataset from the US Census Bureau",2019,06,06037,Rosemead,0662896,482401,3001,3,060374824013001,"Los Angeles-Long Beach-Anaheim, CA",31080,metropolitan,"Los Angeles-Long Beach, CA",348,"Los Angeles-Long Beach-Glendale, CA",31084
"City of San Dimas, CA",34.10668,-117.80673,1,place,,,,,"San Dimas",CA,"Los Angeles County",91773,US,"TIGER/Line® dataset from the US Census Bureau",2019,06,06037,"San Dimas",0666070,400304,4017,4,060374003044017,"Los Angeles-Long Beach-Anaheim, CA",31080,metropolitan,"Los Angeles-Long Beach, CA",348,"Los Angeles-Long Beach-Glendale, CA",31084
"City of San Fernando, CA",33.786594,-118.298662,1,place,,,,,"San Fernando",CA,"Los Angeles County",91341,US,"TIGER/Line® dataset from the US Census Bureau",2019,06,06037,"Los Angeles",0644000,294421,1002,1,060372944211002,"Los Angeles-Long Beach-Anaheim, CA",31080,metropolitan,"Los Angeles-Long Beach, CA",348,"Los Angeles-Long Beach-Glendale, CA",31084
"City of San Gabriel, CA",34.114772,-118.089431,1,place,,,,,"San Gabriel",CA,"Los Angeles County",91775,US,"TIGER/Line® dataset from the US Census Bureau",2019,06,06037,"East San Gabriel",0621096,480002,3005,3,060374800023005,"Los Angeles-Long Beach-Anaheim, CA",31080,metropolitan,"Los Angeles-Long Beach, CA",348,"Los Angeles-Long Beach-Glendale, CA",31084
"City of San Marino, CA",34.122671,-118.112911,1,place,,,,,"San Marino",CA,"Los Angeles County",91108,US,"TIGER/Line® dataset from the US Census Bureau",2019,06,06037,"San Marino",0668224,464100,5006,5,060374641005006,"Los Angeles-Long Beach-Anaheim, CA",31080,metropolitan,"Los Angeles-Long Beach, CA",348,"Los Angeles-Long Beach-Glendale, CA",31084
"City of Santa Clarita, CA",34.440891,-118.501748,1,place,,,,,"Santa Clarita",CA,"Los Angeles County",91350,US,"TIGER/Line® dataset from the US Census Bureau",2019,06,06037,"Santa Clarita",0669088,920013,2002,2,060379200132002,"Los Angeles-Long Beach-Anaheim, CA",31080,metropolitan,"Los Angeles-Long Beach, CA",348,"Los Angeles-Long Beach-Glendale, CA",31084
"City of Santa Fe Springs, CA",33.927063,-118.063698,1,place,,,,,"Santa Fe Springs",CA,"Los Angeles County",90670,US,"TIGER/Line® dataset from the US Census Bureau",2019,06,06037,"Santa Fe Springs",0669154,502802,2018,2,060375028022018,"Los Angeles-Long Beach-Anaheim, CA",31080,metropolitan,"Los Angeles-Long Beach, CA",348,"Los Angeles-Long Beach-Glendale, CA",31084
"City of Santa Monica, CA",34.013666,-118.49375,1,place,,,,,"Santa Monica",CA,"Los Angeles County",90401,US,"TIGER/Line® dataset from the US Census Bureau",2019,06,06037,"Santa Monica",0670000,701902,2014,2,060377019022014,"Los Angeles-Long Beach-Anaheim, CA",31080,metropolitan,"Los Angeles-Long Beach, CA",348,"Los Angeles-Long Beach-Glendale, CA",31084
"City of Sierra Madre, CA",34.168771,-118.050216,1,place,,,,,"Sierra Madre",CA,"Los Angeles County",91024,US,"TIGER/Line® dataset from the US Census Bureau",2019,06,06037,"Sierra Madre",0671806,430501,2000,2,060374305012000,"Los Angeles-Long Beach-Anaheim, CA",31080,metropolitan,"Los Angeles-Long Beach, CA",348,"Los Angeles-Long Beach-Glendale, CA",31084
"City of Signal Hill, CA",33.803448,-118.168135,0.9,place,,,,,"Signal Hill",CA,"Los Angeles County",90755,US,"TIGER/Line® dataset from the US Census Bureau",2019,06,06037,"Signal Hill",0671876,573402,2000,2,060375734022000,"Los Angeles-Long Beach-Anaheim, CA",31080,metropolitan,"Los Angeles-Long Beach, CA",348,"Los Angeles-Long Beach-Glendale, CA",31084
